Query_ID	Doc_ID	Rank	Score
1	792	1	24.5
1	798	2	24.0
1	1313	3	23.0
1	131	4	23.0
1	1147	5	22.5
1	1144	6	20.0
1	640	7	19.5
1	262	8	18.5
1	717	9	18.5
1	244	10	18.0
1	826	11	17.5
1	927	12	17.5
1	14	13	17.5
1	695	14	17.5
1	1201	15	17.0
1	1047	16	17.0
1	576	17	17.0
1	1268	18	16.5
1	928	19	16.5
1	89	20	16.5
1	499	21	16.5
1	83	22	16.0
1	193	23	16.0
1	51	24	16.0
1	82	25	16.0
1	721	26	16.0
1	874	27	15.5
1	1239	28	15.5
1	658	29	15.5
1	588	30	15.5
1	433	31	15.5
1	673	32	15.5
1	373	33	15.5
1	1392	34	15.0
1	73	35	15.0
1	1277	36	15.0
1	730	37	15.0
1	140	38	14.5
1	96	39	14.5
1	710	40	14.5
1	992	41	14.5
1	56	42	14.5
1	156	43	14.0
1	1040	44	14.0
1	962	45	14.0
1	151	46	14.0
1	946	47	14.0
1	662	48	14.0
1	1167	49	14.0
1	704	50	13.5
1	947	51	13.5
1	204	52	13.5
1	277	53	13.5
1	991	54	13.5
1	1292	55	13.5
1	417	56	13.5
1	300	57	13.5
1	1244	58	13.5
1	1335	59	13.0
1	1218	60	13.0
1	329	61	13.0
1	99	62	13.0
1	344	63	13.0
1	442	64	13.0
1	1226	65	13.0
1	811	66	13.0
1	12	67	13.0
1	189	68	13.0
1	414	69	12.5
1	100	70	12.5
1	315	71	12.5
1	1352	72	12.5
1	124	73	12.5
1	197	74	12.5
1	1104	75	12.5
1	675	76	12.5
1	808	77	12.5
1	1119	78	12.5
1	712	79	12.5
1	210	80	12.5
1	49	81	12.5
1	9	82	12.5
1	934	83	12.0
1	33	84	12.0
1	1322	85	12.0
1	92	86	12.0
1	114	87	12.0
1	423	88	12.0
1	170	89	12.0
1	1039	90	12.0
1	85	91	12.0
1	1342	92	12.0
1	889	93	12.0
1	917	94	12.0
1	225	95	12.0
1	686	96	11.5
1	252	97	11.5
1	232	98	11.5
1	987	99	11.5
1	198	100	11.5
1	806	101	11.5
1	234	102	11.5
1	1375	103	11.5
1	211	104	11.5
1	1246	105	11.5
1	801	106	11.5
1	1300	107	11.5
1	29	108	11.5
1	747	109	11.5
1	828	110	11.5
1	1072	111	11.5
1	172	112	11.5
1	1325	113	11.5
1	213	114	11.5
1	1338	115	11.5
1	1108	116	11.0
1	174	117	11.0
1	815	118	11.0
1	827	119	11.0
1	94	120	11.0
1	1383	121	11.0
1	206	122	11.0
1	976	123	11.0
1	416	124	11.0
1	1061	125	11.0
1	1115	126	11.0
1	529	127	11.0
1	1381	128	11.0
1	1307	129	11.0
1	625	130	11.0
1	1341	131	11.0
1	1082	132	11.0
1	1321	133	11.0
1	435	134	11.0
1	1387	135	11.0
1	434	136	11.0
1	466	137	11.0
1	1351	138	11.0
1	187	139	11.0
1	274	140	11.0
1	216	141	11.0
1	132	142	11.0
1	486	143	11.0
1	57	144	11.0
1	364	145	11.0
1	766	146	11.0
1	572	147	11.0
1	202	148	11.0
1	332	149	10.5
1	325	150	10.5
1	822	151	10.5
1	80	152	10.5
1	155	153	10.5
1	656	154	10.5
1	786	155	10.5
1	272	156	10.5
1	593	157	10.5
1	184	158	10.5
1	441	159	10.5
1	523	160	10.5
1	1035	161	10.5
1	342	162	10.5
1	1252	163	10.5
1	540	164	10.5
1	980	165	10.5
1	773	166	10.5
1	266	167	10.5
1	685	168	10.5
1	1337	169	10.5
1	163	170	10.5
1	25	171	10.5
1	77	172	10.5
1	858	173	10.0
1	698	174	10.0
1	767	175	10.0
1	797	176	10.0
1	1347	177	10.0
1	32	178	10.0
1	247	179	10.0
1	739	180	10.0
1	129	181	10.0
1	1225	182	10.0
1	452	183	10.0
1	42	184	10.0
1	1154	185	10.0
1	427	186	10.0
1	1356	187	10.0
1	1303	188	10.0
1	253	189	10.0
1	638	190	10.0
1	1382	191	10.0
1	453	192	10.0
1	599	193	10.0
1	1165	194	10.0
1	110	195	10.0
1	13	196	10.0
1	857	197	10.0
1	212	198	10.0
1	1333	199	10.0
1	693	200	9.5
2	1201	1	85.5
2	798	2	81.0
2	1313	3	70.0
2	329	4	61.5
2	792	5	54.5
2	927	6	54.5
2	89	7	50.5
2	417	8	50.5
2	499	9	49.5
2	673	10	49.5
2	1040	11	47.5
2	452	12	47.5
2	721	13	46.5
2	94	14	46.0
2	73	15	46.0
2	131	16	45.0
2	1147	17	45.0
2	1239	18	44.5
2	433	19	43.5
2	1144	20	43.5
2	160	21	42.0
2	1244	22	42.0
2	1047	23	41.5
2	244	24	41.0
2	928	25	40.5
2	992	26	40.5
2	364	27	40.5
2	757	28	40.0
2	522	29	40.0
2	140	30	39.5
2	826	31	39.5
2	1392	32	39.0
2	695	33	38.5
2	199	34	38.0
2	874	35	38.0
2	262	36	38.0
2	576	37	38.0
2	315	38	37.5
2	85	39	37.5
2	234	40	37.0
2	423	41	37.0
2	14	42	36.5
2	827	43	36.0
2	33	44	36.0
2	1382	45	36.0
2	49	46	36.0
2	1072	47	36.0
2	132	48	36.0
2	662	49	36.0
2	225	50	36.0
2	206	51	35.5
2	1226	52	35.5
2	82	53	35.5
2	797	54	35.0
2	99	55	35.0
2	731	56	35.0
2	1082	57	35.0
2	189	58	35.0
2	96	59	34.5
2	272	60	34.5
2	1061	61	34.5
2	675	62	34.5
2	210	63	34.5
2	170	64	34.5
2	1164	65	34.5
2	277	66	34.5
2	466	67	34.5
2	1198	68	34.5
2	373	69	34.5
2	1268	70	34.0
2	83	71	34.0
2	976	72	34.0
2	962	73	34.0
2	151	74	34.0
2	193	75	34.0
2	1248	76	33.5
2	599	77	33.5
2	173	78	33.5
2	1209	79	33.0
2	344	80	33.0
2	712	81	33.0
2	1343	82	33.0
2	572	83	33.0
2	640	84	32.5
2	155	85	32.5
2	1375	86	32.5
2	946	87	32.5
2	625	88	32.5
2	51	89	32.5
2	218	90	32.5
2	548	91	32.5
2	416	92	32.0
2	198	93	32.0
2	165	94	32.0
2	947	95	32.0
2	811	96	32.0
2	730	97	32.0
2	434	98	32.0
2	1066	99	31.5
2	1277	100	31.5
2	1342	101	31.5
2	62	102	31.0
2	658	103	31.0
2	588	104	31.0
2	157	105	31.0
2	163	106	31.0
2	987	107	30.5
