Query_ID	Doc_ID	Rank	Score
1	486	1	20.119134238
1	13	2	18.0296521174
1	184	3	17.8611526566
1	51	4	16.1027252205
1	746	5	15.7366159775
1	359	6	14.5901445641
1	875	7	14.3375953159
1	792	8	13.8198819158
1	12	9	12.5930651368
1	1340	10	12.2233772421
1	747	11	11.729302052
1	879	12	11.0545049622
1	56	13	11.0255063986
1	141	14	10.4126691879
1	1144	15	10.3374275204
1	878	16	9.95967461875
1	435	17	9.78886745872
1	606	18	9.5609478247
1	663	19	9.45414795011
1	315	20	9.2868564523
2	746	1	23.9449173165
2	12	2	23.1909947591
2	792	3	17.7002323509
2	700	4	14.8520978257
2	810	5	14.4457652337
2	141	6	14.0704909481
2	51	7	13.0684647782
2	1380	8	12.2480366428
2	92	9	12.0262003666
2	909	10	11.4628332044
2	47	11	11.4422497523
2	606	12	11.4173091364
2	883	13	11.3126989121
2	184	14	11.2181372887
2	725	15	10.8472454811
2	1379	16	10.3989327613
2	875	17	10.3558099915
2	497	18	10.109996371
2	1012	19	10.0463164735
2	712	20	9.85989607559
3	399	1	24.9759051892
3	144	2	22.4513454391
3	485	3	21.8509463345
3	5	4	16.8573179386
3	91	5	16.8397114967
3	90	6	16.7349236808
3	181	7	15.2381968743
3	6	8	11.5332368851
3	542	9	11.0792266857
3	582	10	10.3378994466
3	584	11	9.18093554088
3	585	12	9.11130514577
3	518	13	8.9322121305
3	1088	14	8.30641122746
3	981	15	8.13726009975
3	168	16	7.81884190248
3	142	17	7.80447937353
3	119	18	7.76639281236
3	586	19	7.17805029419
3	66	20	7.09424719632
4	166	1	32.8302511758
4	488	2	28.5829611851
4	185	3	15.2056744139
4	236	4	14.6899081223
4	1296	5	14.3303072264
4	317	6	14.2720253731
4	1312	7	13.6201875037
4	410	8	13.0992888272
4	1202	9	12.9486052424
4	1252	10	12.8683254472
4	349	11	12.6437467326
4	1061	12	12.057710299
4	167	13	11.7939243863
4	777	14	10.7658501646
4	1077	15	10.6099511228
4	1286	16	10.4379406281
4	541	17	10.039280947
4	656	18	9.36952067999
4	110	19	8.85865741323
4	1275	20	8.72765864104
5	552	1	17.2667884434
5	103	2	10.6508121722
5	1032	3	10.1361784651
5	968	4	9.74113018409
5	1296	5	9.57834661985
5	1379	6	9.42746952382
5	1272	7	8.42339622143
5	1209	8	8.3199634836
5	488	9	8.12860403749
5	540	10	8.08773909857
5	824	11	7.81740303609
5	329	12	7.77288626994
5	401	13	7.67339727546
5	1198	14	7.6584191816
5	495	15	7.62000240901
5	130	16	7.47378393693
5	641	17	7.47179839517
5	307	18	7.44515584048
5	410	19	7.36638041554
5	367	20	7.32229043796
6	491	1	14.8346970354
6	386	2	10.7961701115
6	385	3	10.2889969572
6	1273	4	9.55709204594
6	997	5	9.06704830714
6	544	6	8.87672851961
6	271	7	8.58360866592
6	1374	8	8.47611697144
6	1074	9	8.15010270672
6	1308	10	8.05171654988
6	1075	11	7.96754245679
6	950	12	7.95793614494
6	497	13	7.94781691646
6	1062	14	7.78343871656
6	558	15	7.7696650273
6	406	16	7.66456987618
6	256	17	7.15181167528
6	767	18	7.09352669013
6	865	19	6.94465294712
6	130	20	6.93893602279
7	492	1	35.9752949606
7	57	2	14.3398280344
7	48	3	14.0286979012
7	248	4	12.778650122
7	354	5	12.3318568612
7	1307	6	12.0906122716
7	973	7	11.9790364706
7	58	8	11.6460114156
7	1381	9	11.1843628555
7	56	10	10.7755520269
7	567	11	10.6158973677
7	469	12	10.5370340228
7	907	13	10.2942437389
7	434	14	10.2219504741
7	1077	15	9.99065024912
7	801	16	9.81523381165
7	69	17	9.79427231781
7	688	18	9.68062746745
7	717	19	9.43815349838
7	971	20	9.40183896988
8	492	1	21.9499037799
8	232	2	17.0670711158
8	69	3	15.9193520414
8	122	4	14.4167968573
8	441	5	14.3591787738
8	248	6	14.0978789866
8	469	7	13.4846798041
8	1193	8	13.1160547999
8	461	9	12.8897446933
8	354	10	12.4987538158
8	556	11	12.4507414007
8	1307	12	12.1051380463
8	58	13	11.656383564
8	557	14	11.3095566743
8	1347	15	11.2548218225
8	48	16	11.1104280059
8	57	17	10.8605050325
8	688	18	10.6745573038
8	56	19	10.6206360789
8	1077	20	10.1274376399
9	45	1	9.70713551117
9	168	2	9.6737008665
9	5	3	8.79962956284
9	398	4	8.55433267644
9	303	5	8.35072990011
9	21	6	8.1015766065
9	585	7	7.9506161421
9	983	8	7.85068274936
9	554	9	7.70326035357
9	959	10	7.65500999177
9	846	11	7.58517928457
9	560	12	7.48189969438
9	101	13	7.3564149088
9	1264	14	7.33796885455
9	550	15	7.31930689867
9	270	16	7.21896189412
9	524	17	7.15719359726
9	623	18	7.12583160103
9	1071	19	7.05002297468
9	839	20	7.03789008412
10	302	1	20.6019248482
10	1143	2	17.4954711822
10	493	3	16.7367042891
10	691	4	15.759120509
10	949	5	14.5932670924
10	1214	6	12.9315957943
10	1286	7	12.6779149277
10	1274	8	12.2189816917
10	1319	9	12.1782073367
10	1150	10	11.8176632536
10	332	11	11.7761518264
10	616	12	11.402505695
10	617	13	11.0270368977
